,Quarter,Time,Tm,Detail,PHI,LAR
0,1.0,8:35,Eagles,Jake Elliott 51 yard field goal,3,0
1,1.0,1:16,Rams,Todd Gurley 5 yard rush (Greg Zuerlein kick),3,7
2,2.0,12:00,Eagles,Jake Elliott 34 yard field goal,6,7
3,2.0,4:38,Rams,Greg Zuerlein 41 yard field goal,6,10
4,2.0,1:07,Eagles,Josh Adams 6 yard rush (Jake Elliott kick),13,10
5,2.0,0:00,Rams,Greg Zuerlein 36 yard field goal,13,13
6,3.0,10:28,Eagles,Wendell Smallwood 9 yard rush (Jake Elliott kick),20,13
7,3.0,3:11,Eagles,Jake Elliott 40 yard field goal,23,13
8,3.0,1:34,Eagles,Wendell Smallwood 4 yard rush (Jake Elliott kick),30,13
9,4.0,9:24,Rams,Greg Zuerlein 37 yard field goal,30,16
10,4.0,4:06,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),30,23
