,Quarter,Time,Tm,Detail,STL,PHI
0,1.0,14:37,Eagles,Chris Maragos 10 yard blocked punt return (Cody Parkey kick),0,7
1,1.0,7:42,Eagles,Cody Parkey 26 yard field goal,0,10
2,1.0,3:04,Eagles,Cody Parkey 27 yard field goal,0,13
3,2.0,3:23,Rams,Brian Quick 8 yard pass from Austin Davis (Greg Zuerlein kick),7,13
4,2.0,0:30,Eagles,Riley Cooper 9 yard pass from Nick Foles (Cody Parkey kick),7,20
5,3.0,12:17,Eagles,Cedric Thornton defensive fumble recovery in end zone (Cody Parkey kick),7,27
6,3.0,2:15,Eagles,Jeremy Maclin 24 yard pass from Nick Foles (Cody Parkey kick),7,34
7,3.0,0:03,Rams,Benny Cunningham 14 yard rush (Greg Zuerlein kick),14,34
8,4.0,9:02,Rams,Kenny Britt 30 yard pass from Austin Davis (Greg Zuerlein kick),21,34
9,4.0,4:41,Rams,Brian Quick 5 yard pass from Austin Davis (Greg Zuerlein kick),28,34
