,Quarter,Time,Tm,Detail,IND,HOU
0,1,5:56,Colts,Adam Vinatieri 41 yard field goal,3,0
1,2,14:55,Colts,Jack Doyle 22 yard pass from Andrew Luck (Adam Vinatieri kick),10,0
2,2,6:55,Colts,Adam Vinatieri 37 yard field goal,13,0
3,2,1:57,Texans,Nick Novak 27 yard field goal,13,3
4,3,7:06,Texans,Lamar Miller 1 yard rush (Nick Novak kick failed),13,9
5,4,14:53,Colts,Andrew Luck 14 yard rush (Adam Vinatieri kick),20,9
6,4,7:04,Colts,Adam Vinatieri 36 yard field goal,23,9
7,4,2:37,Texans,Lamar Miller 10 yard pass from Brock Osweiler (Nick Novak kick),23,16
8,4,0:49,Texans,C.J. Fiedorowicz 26 yard pass from Brock Osweiler (Nick Novak kick),23,23
9,OT,8:10,Texans,Nick Novak 33 yard field goal,23,26
