,Quarter,Time,Tm,Detail,DEN,BAL
0,1.0,5:45,Broncos,Jason Elam 40 yard field goal,3,0
1,2.0,14:15,Ravens,Todd Heap 23 yard pass from Chris Redman (Matt Stover kick),3,7
2,2.0,10:25,Ravens,Jamal Lewis 2 yard rush (Matt Stover kick),3,14
3,2.0,1:57,Ravens,Matt Stover 23 yard field goal,3,17
4,2.0,0:18,Ravens,Todd Heap 3 yard pass from Chris Redman (Matt Stover kick),3,24
5,2.0,0:00,Ravens,Chris McAlister 107 yard field goal return (Matt Stover kick),3,31
6,3.0,13:06,Ravens,Matt Stover 41 yard field goal,3,34
7,3.0,8:44,Broncos,Reuben Droughns 1 yard rush (Jason Elam kick),10,34
8,3.0,1:24,Broncos,Patrick Hape 2 yard pass from Brian Griese,16,34
9,4.0,4:42,Broncos,Brian Griese 1 yard rush (Jason Elam kick),23,34
