,Quarter,Time,Tm,Detail,BUF,JAX
0,1.0,9:40,Jaguars,Fred Taylor 50 yard rush (Josh Scobee kick),0,7
1,1.0,1:21,Jaguars,Josh Scobee 46 yard field goal,0,10
2,2.0,10:56,Jaguars,Josh Scobee 33 yard field goal,0,13
3,2.0,6:03,Bills,Anthony Thomas 10 yard pass from J.P. Losman (Rian Lindell kick),7,13
4,2.0,0:04,Jaguars,Josh Scobee 22 yard field goal,7,16
5,3.0,8:06,Jaguars,Josh Scobee 23 yard field goal,7,19
6,3.0,1:29,Bills,Roscoe Parrish 24 yard rush (Rian Lindell kick),14,19
7,4.0,14:10,Jaguars,Josh Scobee 20 yard field goal,14,22
8,4.0,2:39,Jaguars,Reggie Williams 59 yard pass from David Garrard (Josh Scobee kick),14,29
9,4.0,1:43,Jaguars,Maurice Jones-Drew 17 yard rush (Josh Scobee kick),14,36
