,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,8:13,Patriots,James Develin 2 yard rush (Stephen Gostkowski kick failed),6,0
1,1.0,5:32,Dolphins,Kenny Stills 7 yard pass from Ryan Tannehill (Jason Sanders kick),6,7
2,2.0,14:14,Patriots,Julian Edelman 2 yard pass from Tom Brady (Stephen Gostkowski kick),13,7
3,2.0,13:26,Dolphins,Brandon Bolden 54 yard rush (Jason Sanders kick),13,14
4,2.0,10:32,Patriots,Cordarrelle Patterson 37 yard pass from Tom Brady (Stephen Gostkowski kick),20,14
5,2.0,7:28,Dolphins,Brandon Bolden 6 yard rush (Jason Sanders kick),20,21
6,2.0,3:49,Patriots,Rob Gronkowski 16 yard pass from Tom Brady (Stephen Gostkowski kick),27,21
7,3.0,3:58,Dolphins,Brice Butler 23 yard pass from Ryan Tannehill (Jason Sanders kick),27,28
8,4.0,6:45,Patriots,Stephen Gostkowski 32 yard field goal,30,28
9,4.0,0:16,Patriots,Stephen Gostkowski 22 yard field goal,33,28
10,4.0,0:00,Dolphins,Kenyan Drake 69 yard pass from Ryan Tannehill,33,34
