,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,5:38,Eagles,Bryce Brown 10 yard rush (Alex Henery kick),7,0
1,2.0,13:34,Cowboys,Dan Bailey 39 yard field goal,7,3
2,2.0,6:07,Eagles,Bryce Brown 5 yard rush (Alex Henery kick),14,3
3,2.0,0:41,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),14,10
4,2.0,0:00,Eagles,Alex Henery 43 yard field goal,17,10
5,3.0,11:18,Cowboys,Dez Bryant 23 yard pass from Tony Romo (Dan Bailey kick),17,17
6,3.0,5:27,Eagles,Riley Cooper 15 yard pass from Nick Foles (Alex Henery kick),24,17
7,4.0,13:41,Cowboys,Miles Austin 27 yard pass from Tony Romo (Dan Bailey kick),24,24
8,4.0,9:51,Eagles,Alex Henery 43 yard field goal,27,24
9,4.0,5:35,Cowboys,Dez Bryant 6 yard pass from Tony Romo (Dan Bailey kick),27,31
10,4.0,3:50,Cowboys,Morris Claiborne 50 yard defensive fumble return (Dan Bailey kick),27,38
11,4.0,0:31,Eagles,Damaris Johnson 98 yard punt return (run failed),33,38
