,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,7:27,Jaguars,Josh Scobee 50 yard field goal,0,3
1,2.0,14:13,Colts,Dallas Clark 6 yard pass from Peyton Manning (Matt Stover kick),7,3
2,2.0,8:25,Jaguars,Maurice Jones-Drew 9 yard pass from David Garrard (Josh Scobee kick),7,10
3,2.0,8:12,Colts,Chad Simpson 93 yard kickoff return (Matt Stover kick),14,10
4,2.0,2:58,Jaguars,Maurice Jones-Drew 3 yard rush (Josh Scobee kick),14,17
5,2.0,0:35,Colts,Austin Collie 23 yard pass from Peyton Manning (Matt Stover kick),21,17
6,3.0,8:32,Jaguars,Mike Sims-Walker 16 yard pass from David Garrard (Josh Scobee kick),21,24
7,3.0,5:28,Colts,Dallas Clark 27 yard pass from Peyton Manning (Matt Stover kick),28,24
8,3.0,0:47,Jaguars,Mike Thomas 13 yard pass from David Garrard (Josh Scobee kick),28,31
9,4.0,5:23,Colts,Reggie Wayne 65 yard pass from Peyton Manning (Matt Stover kick),35,31
