,Quarter,Time,Tm,Detail,NOR,KAN
0,1.0,5:31,Chiefs,Dwayne Bowe 6 yard pass from Tyler Thigpen (Connor Barth kick),0,7
1,1.0,0:29,Saints,Garrett Hartley 30 yard field goal,3,7
2,2.0,11:23,Saints,Deuce McAllister 1 yard rush (Garrett Hartley kick),10,7
3,2.0,3:31,Chiefs,Connor Barth 20 yard field goal,10,10
4,2.0,0:00,Saints,Garrett Hartley 23 yard field goal,13,10
5,3.0,13:53,Saints,Lance Moore 47 yard pass from Drew Brees (Garrett Hartley kick),20,10
6,3.0,7:41,Chiefs,Connor Barth 21 yard field goal,20,13
7,3.0,3:15,Saints,Pierre Thomas 1 yard rush (Garrett Hartley kick),27,13
8,4.0,13:54,Chiefs,Dwayne Bowe 5 yard pass from Tyler Thigpen (Connor Barth kick),27,20
9,4.0,3:28,Saints,Garrett Hartley 35 yard field goal,30,20
