,Quarter,Time,Tm,Detail,DEN,BUF
0,1.0,0:49,Broncos,Brandon McManus 38 yard field goal,3,0
1,2.0,11:41,Bills,Andre Holmes 2 yard pass from Tyrod Taylor (Stephen Hauschka kick),3,7
2,2.0,10:26,Broncos,Jamaal Charles 12 yard rush (Brandon McManus kick),10,7
3,2.0,2:51,Bills,Stephen Hauschka 49 yard field goal,10,10
4,2.0,0:42,Broncos,Brandon McManus 35 yard field goal,13,10
5,2.0,0:01,Bills,Stephen Hauschka 55 yard field goal,13,13
6,3.0,7:47,Broncos,Brandon McManus 28 yard field goal,16,13
7,3.0,6:20,Bills,Charles Clay 6 yard pass from Tyrod Taylor (Stephen Hauschka kick),16,20
8,4.0,13:52,Bills,Stephen Hauschka 53 yard field goal,16,23
9,4.0,3:14,Bills,Stephen Hauschka 27 yard field goal,16,26
