,Quarter,Time,Tm,Detail,HOU,NWE
0,1.0,9:27,Patriots,Dion Lewis 13 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,1.0,1:15,Texans,Nick Novak 33 yard field goal,3,7
2,1.0,1:00,Patriots,Dion Lewis 98 yard kickoff return (Stephen Gostkowski kick),3,14
3,2.0,11:36,Texans,Nick Novak 27 yard field goal,6,14
4,2.0,10:49,Texans,C.J. Fiedorowicz 10 yard pass from Brock Osweiler (Nick Novak kick),13,14
5,2.0,0:07,Patriots,Stephen Gostkowski 19 yard field goal,13,17
6,3.0,9:09,Patriots,James White 19 yard pass from Tom Brady (Stephen Gostkowski kick),13,24
7,4.0,14:51,Texans,Nick Novak 46 yard field goal,16,24
8,4.0,12:16,Patriots,Dion Lewis 1 yard rush (Stephen Gostkowski kick),16,31
9,4.0,6:37,Patriots,Stephen Gostkowski 43 yard field goal,16,34
