,Quarter,Time,Tm,Detail,JAX,NWE
0,1.0,11:55,Patriots,Dion Lewis 8 yard rush (Stephen Gostkowski kick),0,7
1,1.0,2:56,Patriots,Stephen Gostkowski 46 yard field goal,0,10
2,2.0,9:32,Jaguars,Jason Myers 40 yard field goal,3,10
3,2.0,3:42,Patriots,Stephen Gostkowski 20 yard field goal,3,13
4,2.0,0:18,Patriots,Danny Amendola 1 yard pass from Tom Brady (Stephen Gostkowski kick),3,20
5,3.0,10:50,Patriots,Stephen Gostkowski 46 yard field goal,3,23
6,3.0,9:04,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),3,30
7,3.0,6:15,Jaguars,Allen Hurns 59 yard pass from Blake Bortles (Jason Myers kick),10,30
8,3.0,3:18,Patriots,Keshawn Martin 13 yard pass from Tom Brady (Stephen Gostkowski kick),10,37
9,4.0,14:57,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),10,44
10,4.0,3:31,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),10,51
11,4.0,1:22,Jaguars,Clay Harbor 6 yard pass from Blake Bortles (Jason Myers kick),17,51
