,Quarter,Time,Tm,Detail,MIA,DEN
0,1.0,11:22,Dolphins,Daniel Thomas 3 yard rush (Caleb Sturgis kick),7,0
1,1.0,4:10,Broncos,Brandon McManus 38 yard field goal,7,3
2,2.0,12:53,Dolphins,Ryan Tannehill 1 yard rush (Caleb Sturgis kick),14,3
3,2.0,7:08,Broncos,Demaryius Thomas 5 yard pass from Peyton Manning (Brandon McManus kick),14,10
4,2.0,1:54,Dolphins,Mike Wallace 10 yard pass from Ryan Tannehill (Caleb Sturgis kick),21,10
5,2.0,0:12,Broncos,Demaryius Thomas 14 yard pass from Peyton Manning (Brandon McManus kick),21,17
6,3.0,2:11,Dolphins,Jarvis Landry 5 yard pass from Ryan Tannehill (Caleb Sturgis kick),28,17
7,4.0,14:09,Broncos,Demaryius Thomas 5 yard pass from Peyton Manning (Emmanuel Sanders pass from Peyton Manning),28,25
8,4.0,5:01,Broncos,C.J. Anderson 10 yard rush (Brandon McManus kick),28,32
9,4.0,3:13,Broncos,Wes Welker 2 yard pass from Peyton Manning (Brandon McManus kick),28,39
10,4.0,1:34,Dolphins,Jarvis Landry 1 yard pass from Ryan Tannehill (Daniel Thomas run),36,39
