,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,12:03,Falcons,Harry Douglas 3 yard pass from Matt Ryan (Matt Bryant kick),0,7
1,1.0,3:03,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),0,14
2,1.0,2:38,Falcons,Kemal Ishmael 23 yard interception return (Matt Bryant kick),0,21
3,2.0,14:53,Falcons,Devin Hester 20 yard rush (Matt Bryant kick),0,28
4,2.0,7:06,Falcons,Devin Hester 62 yard punt return (Matt Bryant kick),0,35
5,3.0,8:23,Falcons,Julio Jones 40 yard pass from Matt Ryan (Matt Bryant kick),0,42
6,3.0,8:11,Falcons,Steven Jackson 2 yard rush (Matt Bryant kick),0,49
7,3.0,1:47,Falcons,Antone Smith 38 yard rush (Matt Bryant kick),0,56
8,4.0,8:46,Buccaneers,Vincent Jackson 3 yard pass from Mike Glennon (Patrick Murray kick),7,56
9,4.0,7:07,Buccaneers,Danny Lansanah 27 yard interception return (Patrick Murray kick),14,56
