,Quarter,Time,Tm,Detail,NWE,PHI
0,1.0,12:43,Eagles,LeSean McCoy 2 yard rush (Alex Henery kick),0,7
1,1.0,8:19,Eagles,Alex Henery 43 yard field goal,0,10
2,1.0,1:27,Patriots,BenJarvus Green-Ellis 4 yard rush (Stephen Gostkowski kick),7,10
3,2.0,13:12,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),14,10
4,2.0,7:09,Patriots,Wes Welker 41 yard pass from Tom Brady (Stephen Gostkowski kick),21,10
5,2.0,2:11,Eagles,Alex Henery 22 yard field goal,21,13
6,2.0,0:51,Patriots,Stephen Gostkowski 45 yard field goal,24,13
7,3.0,11:27,Patriots,Wes Welker 9 yard pass from Tom Brady (Stephen Gostkowski kick),31,13
8,4.0,8:35,Patriots,Rob Gronkowski 24 yard pass from Tom Brady (Stephen Gostkowski kick),38,13
9,4.0,0:32,Eagles,Jason Avant 1 yard pass from Vince Young (Alex Henery kick),38,20
