,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,9:20,Cardinals,Larry Fitzgerald 9 yard pass from Kurt Warner (Neil Rackers kick),0,7
1,1.0,4:43,Eagles,David Akers 45 yard field goal,3,7
2,2.0,13:19,Cardinals,Larry Fitzgerald 62 yard pass from Kurt Warner (Neil Rackers kick),3,14
3,2.0,9:02,Eagles,David Akers 33 yard field goal,6,14
4,2.0,3:06,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Neil Rackers kick),6,21
5,2.0,0:00,Cardinals,Neil Rackers 49 yard field goal,6,24
6,3.0,4:08,Eagles,Brent Celek 6 yard pass from Donovan McNabb (David Akers kick),13,24
7,3.0,0:49,Eagles,Brent Celek 31 yard pass from Donovan McNabb (David Akers kick failed),19,24
8,4.0,10:45,Eagles,DeSean Jackson 62 yard pass from Donovan McNabb (pass failed),25,24
9,4.0,2:53,Cardinals,Tim Hightower 8 yard pass from Kurt Warner (Ben Patrick pass from Kurt Warner),25,32
