,Quarter,Time,Tm,Detail,TEN,SDG
0,1.0,13:31,Titans,"Safety, Mike Scifress punt blocked by Nick Schommer out of the end zone for a safety.",2,0
1,1.0,4:33,Chargers,Mike Tolbert 1 yard rush (Kris Brown kick),2,7
2,1.0,0:17,Titans,Rob Bironas 21 yard field goal,5,7
3,2.0,8:08,Titans,Craig Stevens 1 yard pass from Vince Young (Rob Bironas kick),12,7
4,2.0,4:43,Titans,Chris Johnson 29 yard rush (Rob Bironas kick),19,7
5,2.0,1:55,Chargers,Ryan Mathews 7 yard rush (Kris Brown kick),19,14
6,3.0,7:45,Chargers,Kris Brown 34 yard field goal,19,17
7,3.0,4:20,Chargers,Antonio Gates 48 yard pass from Philip Rivers (Kris Brown kick),19,24
8,4.0,12:01,Chargers,Kris Brown 36 yard field goal,19,27
9,4.0,11:43,Titans,Nate Washington 71 yard pass from Vince Young (pass failed),25,27
10,4.0,6:51,Chargers,Darren Sproles 13 yard pass from Philip Rivers (Kris Brown kick failed),25,33
