,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,8:13,Panthers,Graham Gano 25 yard field goal,0,3
1,1.0,2:24,Buccaneers,Patrick Murray 31 yard field goal,3,3
2,2.0,8:38,Panthers,Graham Gano 28 yard field goal,3,6
3,2.0,2:58,Buccaneers,Patrick Murray 41 yard field goal,6,6
4,2.0,2:43,Panthers,Damiere Byrd 103 yard kickoff return (Graham Gano kick failed),6,12
5,2.0,0:02,Buccaneers,Patrick Murray 21 yard field goal,9,12
6,3.0,10:27,Buccaneers,Bobo Wilson 18 yard pass from Jameis Winston (Patrick Murray kick),16,12
7,3.0,4:49,Panthers,Graham Gano 30 yard field goal,16,15
8,4.0,14:57,Buccaneers,Patrick Murray 26 yard field goal,19,15
9,4.0,0:35,Panthers,Cam Newton 2 yard rush (Graham Gano kick),19,22
