,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,10:05,Lions,Jason Hanson 49 yard field goal,0,3
1,2.0,4:16,Bears,Muhsin Muhammad 15 yard pass from Brian Griese (Robbie Gould kick),7,3
2,3.0,5:08,Bears,Robbie Gould 49 yard field goal,10,3
3,3.0,0:49,Bears,Robbie Gould 41 yard field goal,13,3
4,4.0,14:56,Lions,Shaun McDonald 4 yard pass from Jon Kitna (Jason Hanson kick),13,10
5,4.0,13:14,Lions,Keith Smith 64 yard interception return (Jason Hanson kick),13,17
6,4.0,12:57,Bears,Devin Hester 97 yard kickoff return (Robbie Gould kick),20,17
7,4.0,10:06,Lions,Troy Walters 15 yard pass from Jon Kitna (Jason Hanson kick),20,24
8,4.0,3:34,Lions,Kevin Jones 5 yard rush (Jason Hanson kick failed),20,30
9,4.0,0:52,Bears,Desmond Clark 1 yard pass from Brian Griese (Robbie Gould kick),27,30
10,4.0,0:45,Lions,Casey Fitzsimmons 41 yard kickoff return (Jason Hanson kick),27,37
