,Quarter,Time,Tm,Detail,DET,NWE
0,1.0,2:47,Patriots,Stephen Gostkowski 25 yard field goal,0,3
1,2.0,13:44,Lions,Mike Furrey 5 yard pass from Jon Kitna (Jason Hanson kick),7,3
2,2.0,3:19,Lions,Jason Hanson 29 yard field goal,10,3
3,2.0,1:15,Patriots,Corey Dillon 6 yard rush (Stephen Gostkowski kick),10,10
4,2.0,0:00,Patriots,Stephen Gostkowski 27 yard field goal,10,13
5,3.0,9:09,Lions,Jason Hanson 38 yard field goal,13,13
6,3.0,5:07,Lions,Jason Hanson 49 yard field goal,16,13
7,3.0,4:22,Lions,"Safety,",18,13
8,4.0,13:07,Lions,Jason Hanson 26 yard field goal,21,13
9,4.0,8:35,Patriots,Corey Dillon 2 yard rush (Troy Brown pass from Tom Brady ),21,21
10,4.0,2:33,Patriots,Corey Dillon 4 yard rush (Stephen Gostkowski kick),21,28
