,Quarter,Time,Tm,Detail,SEA,SFO
0,1.0,12:08,49ers,Kevan Barlow 3 yard rush (Todd Peterson kick),0,7
1,1.0,5:15,Seahawks,Darrell Jackson 33 yard pass from Matt Hasselbeck (Josh Brown kick),7,7
2,1.0,1:22,49ers,Curtis Conway 28 yard pass from Tim Rattay (Todd Peterson kick),7,14
3,2.0,6:37,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),14,14
4,2.0,1:57,Seahawks,Shaun Alexander 4 yard rush (Josh Brown kick),21,14
5,2.0,0:03,49ers,Todd Peterson 27 yard field goal,21,17
6,3.0,12:41,49ers,Brandon Lloyd 39 yard pass from Tim Rattay (Todd Peterson kick),21,24
7,3.0,11:16,Seahawks,Koren Robinson 25 yard pass from Matt Hasselbeck (Josh Brown kick),28,24
8,3.0,1:32,Seahawks,Darrell Jackson 39 yard pass from Matt Hasselbeck (Josh Brown kick),35,24
9,4.0,11:09,49ers,Todd Peterson 30 yard field goal,35,27
10,4.0,8:27,Seahawks,Anthony Simmons 23 yard interception return (Josh Brown kick),42,27
