,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,11:18,Bills,Tashard Choice 4 yard rush (Brandon Coutu kick),7,0
1,1.0,5:19,Bills,Steve Johnson 18 yard pass from Ryan Fitzpatrick (Brandon Coutu kick),14,0
2,1.0,0:48,Bills,C.J. Spiller 15 yard pass from Ryan Fitzpatrick (Brandon Coutu kick),21,0
3,2.0,11:58,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),21,7
4,2.0,5:42,Patriots,Aaron Hernandez 39 yard pass from Tom Brady (Stephen Gostkowski kick),21,14
5,3.0,12:19,Patriots,Stephen Gostkowski 47 yard field goal,21,17
6,3.0,5:13,Patriots,Stephen Gostkowski 20 yard field goal,21,20
7,3.0,1:32,Patriots,Rob Gronkowski 17 yard pass from Tom Brady (Danny Woodhead run),21,28
8,4.0,11:16,Patriots,BenJarvus Green-Ellis 3 yard rush (Stephen Gostkowski kick),21,35
9,4.0,3:02,Patriots,Rob Gronkowski 7 yard pass from Tom Brady (Stephen Gostkowski kick),21,42
10,4.0,2:55,Patriots,Sterling Moore 21 yard interception return (Stephen Gostkowski kick),21,49
