,Quarter,Time,Tm,Detail,TEN,OAK
0,1.0,10:59,Raiders,Jerry Porter 3 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
1,1.0,5:59,Titans,Drew Bennett 33 yard pass from Steve McNair (Joe Nedney kick),7,7
2,1.0,2:47,Raiders,Charlie Garner 12 yard pass from Rich Gannon (Sebastian Janikowski kick),7,14
3,2.0,12:39,Titans,Joe Nedney 29 yard field goal,10,14
4,2.0,2:47,Titans,Steve McNair 9 yard rush (Joe Nedney kick),17,14
5,2.0,1:00,Raiders,Doug Jolley 1 yard pass from Rich Gannon (Sebastian Janikowski kick),17,21
6,2.0,0:00,Raiders,Sebastian Janikowski 43 yard field goal,17,24
7,3.0,4:29,Raiders,Sebastian Janikowski 32 yard field goal,17,27
8,3.0,0:31,Titans,Steve McNair 13 yard rush (Craig Hentrich kick),24,27
9,4.0,11:27,Raiders,Rich Gannon 2 yard rush (Sebastian Janikowski kick),24,34
10,4.0,3:25,Raiders,Zack Crockett 7 yard rush (Sebastian Janikowski kick),24,41
