,Quarter,Time,Tm,Detail,NOR,MIA
0,1.0,7:20,Dolphins,Ricky Williams 4 yard rush (Dan Carpenter kick),0,7
1,1.0,5:06,Saints,John Carney 46 yard field goal,3,7
2,1.0,4:47,Dolphins,Ricky Williams 68 yard rush (Dan Carpenter kick),3,14
3,2.0,11:21,Dolphins,Dan Carpenter 32 yard field goal,3,17
4,2.0,8:55,Dolphins,Ronnie Brown 8 yard rush (Dan Carpenter kick),3,24
5,2.0,0:02,Saints,Drew Brees 1 yard rush (John Carney kick),10,24
6,3.0,13:56,Saints,Darren Sharper 42 yard interception return (John Carney kick),17,24
7,3.0,5:59,Dolphins,Dan Carpenter 33 yard field goal,17,27
8,3.0,1:09,Saints,Marques Colston 10 yard pass from Drew Brees (John Carney kick),24,27
9,3.0,0:03,Dolphins,Ricky Williams 4 yard rush (Dan Carpenter kick),24,34
10,4.0,13:23,Saints,Reggie Bush 10 yard rush (John Carney kick),31,34
11,4.0,8:35,Saints,Drew Brees 2 yard rush (John Carney kick failed),37,34
12,4.0,3:23,Saints,John Carney 20 yard field goal,40,34
13,4.0,1:53,Saints,Tracy Porter 54 yard interception return (run failed),46,34
