,Quarter,Time,Tm,Detail,PHI,DET
0,1.0,8:39,Eagles,DeSean Jackson 45 yard pass from Michael Vick (David Akers kick),7,0
1,1.0,5:39,Lions,Jahvid Best 14 yard rush (Jason Hanson kick),7,7
2,2.0,12:28,Lions,Jason Hanson 49 yard field goal,7,10
3,2.0,8:16,Lions,Jahvid Best 75 yard pass from Shaun Hill (Jason Hanson kick),7,17
4,2.0,3:53,Eagles,LeSean McCoy 14 yard rush (David Akers kick),14,17
5,2.0,0:13,Eagles,Jeremy Maclin 9 yard pass from Michael Vick (David Akers kick),21,17
6,3.0,5:54,Eagles,LeSean McCoy 4 yard rush (David Akers kick),28,17
7,4.0,6:17,Eagles,LeSean McCoy 46 yard rush (David Akers kick),35,17
8,4.0,4:13,Lions,Jahvid Best 2 yard rush (Jason Hanson kick),35,24
9,4.0,1:50,Lions,Calvin Johnson 19 yard pass from Shaun Hill (Calvin Johnson pass from Shaun Hill),35,32
