,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,4:13,Chargers,Antonio Gates 19 yard pass from Philip Rivers (Nate Kaeding kick),0,7
1,2.0,10:46,Chiefs,Chris Chambers 7 yard pass from Matt Cassel (Ryan Succop kick),7,7
2,2.0,10:05,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,14
3,2.0,2:52,Chargers,Antonio Gates 15 yard pass from Philip Rivers (Nate Kaeding kick),7,21
4,2.0,2:32,Chargers,Paul Oliver 40 yard defensive fumble return (Nate Kaeding kick),7,28
5,3.0,12:58,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),7,35
6,3.0,9:45,Chiefs,Jamaal Charles 4 yard rush (Ryan Succop kick),14,35
7,3.0,4:27,Chargers,Nate Kaeding 55 yard field goal,14,38
8,4.0,12:45,Chargers,"Safety, Matt Cassel called for intentional grounding in end zone.",14,40
9,4.0,5:08,Chargers,Nate Kaeding 23 yard field goal,14,43
