,Quarter,Time,Tm,Detail,OAK,NYJ
0,1.0,11:13,Jets,Nick Folk 41 yard field goal,0,3
1,1.0,3:17,Jets,Jeremy Kerley 25 yard pass from Geno Smith (Nick Folk kick),0,10
2,2.0,12:31,Raiders,Sebastian Janikowski 41 yard field goal,3,10
3,2.0,5:03,Jets,Nick Folk 23 yard field goal,3,13
4,2.0,3:55,Jets,Antonio Allen blocked punt recovery in end zone (Nick Folk kick),3,20
5,3.0,13:58,Raiders,Marcel Reece 63 yard rush (Sebastian Janikowski kick),10,20
6,3.0,9:15,Jets,Geno Smith 8 yard rush (Nick Folk kick),10,27
7,3.0,6:18,Raiders,Rod Streater 48 yard pass from Matt McGloin (Sebastian Janikowski kick),17,27
8,3.0,2:47,Jets,Nick Folk 51 yard field goal,17,30
9,4.0,13:21,Raiders,Sebastian Janikowski 40 yard field goal,20,30
10,4.0,8:58,Jets,Chris Ivory 15 yard rush (Nick Folk kick),20,37
11,4.0,2:24,Raiders,Mychal Rivera 1 yard pass from Matt McGloin (Sebastian Janikowski kick),27,37
