,Quarter,Time,Tm,Detail,LAR,NOR
0,1.0,12:08,Rams,Tavon Austin 24 yard pass from Jared Goff (Greg Zuerlein kick),7,0
1,1.0,2:45,Saints,Brandon Coleman 3 yard pass from Drew Brees (Wil Lutz kick),7,7
2,2.0,14:43,Rams,Kenny Britt 6 yard pass from Jared Goff (Greg Zuerlein kick),14,7
3,2.0,9:38,Saints,Mark Ingram 10 yard rush (Wil Lutz kick),14,14
4,2.0,7:46,Saints,Drew Brees 1 yard rush (Wil Lutz kick),14,21
5,2.0,2:24,Saints,Michael Thomas 6 yard pass from Drew Brees (Wil Lutz kick),14,28
6,2.0,0:55,Rams,Lance Kendricks 15 yard pass from Jared Goff (Greg Zuerlein kick),21,28
7,3.0,12:58,Saints,Mark Ingram 21 yard pass from Drew Brees (Wil Lutz kick),21,35
8,3.0,3:42,Saints,Michael Thomas 21 yard pass from Drew Brees (Wil Lutz kick),21,42
9,4.0,10:15,Saints,Tim Hightower 50 yard pass from Willie Snead (Wil Lutz kick),21,49
