,Quarter,Time,Tm,Detail,PIT,CAR
0,1.0,6:40,Panthers,Graham Gano 40 yard field goal,0,3
1,1.0,0:07,Steelers,Shaun Suisham 42 yard field goal,3,3
2,2.0,5:37,Steelers,Shaun Suisham 24 yard field goal,6,3
3,2.0,0:00,Steelers,Shaun Suisham 45 yard field goal,9,3
4,3.0,11:02,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),16,3
5,3.0,6:21,Panthers,Graham Gano 40 yard field goal,16,6
6,3.0,2:22,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Shaun Suisham kick),23,6
7,4.0,13:28,Panthers,Greg Olsen 37 yard pass from Cam Newton (Graham Gano kick),23,13
8,4.0,11:00,Steelers,Robert Golden fumble recovery in end zone (Shaun Suisham kick),30,13
9,4.0,5:38,Steelers,LeGarrette Blount 8 yard rush (Shaun Suisham kick),37,13
10,4.0,3:53,Panthers,Kelvin Benjamin 35 yard pass from Derek Anderson (pass failed),37,19
