,Quarter,Time,Tm,Detail,NYG,ARI
0,1.0,13:02,Cardinals,Jay Feely 27 yard field goal,0,3
1,2.0,7:57,Cardinals,Jay Feely 27 yard field goal,0,6
2,2.0,2:54,Giants,Ahmad Bradshaw 13 yard rush (Lawrence Tynes kick),7,6
3,2.0,0:01,Giants,Lawrence Tynes 30 yard field goal,10,6
4,3.0,10:24,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),10,13
5,3.0,2:55,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),10,20
6,4.0,12:07,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),17,20
7,4.0,5:16,Cardinals,Beanie Wells 2 yard rush (Jay Feely kick),17,27
8,4.0,3:37,Giants,Jake Ballard 2 yard pass from Eli Manning (Lawrence Tynes kick),24,27
9,4.0,2:39,Giants,Hakeem Nicks 29 yard pass from Eli Manning (Lawrence Tynes kick),31,27
