,Quarter,Time,Tm,Detail,ARI,SFO
0,1.0,12:17,49ers,Jeff Garcia 3 yard rush (Todd Peterson kick),0,7
1,1.0,0:05,49ers,Terrell Owens 1 yard pass from Jeff Garcia (Todd Peterson kick),0,14
2,2.0,11:33,49ers,Tai Streets 18 yard pass from Jeff Garcia (Todd Peterson kick),0,21
3,2.0,7:13,49ers,Cedrick Wilson 27 yard pass from Jeff Garcia (Todd Peterson kick failed),0,27
4,2.0,0:33,49ers,Terrell Owens 2 yard pass from Jeff Garcia (Todd Peterson kick),0,34
5,3.0,9:27,49ers,"Safety,",0,36
6,3.0,5:01,Cardinals,James Hodgins 3 yard pass from Josh McCown (Neil Rackers kick),7,36
7,3.0,2:40,49ers,Jeff Garcia 4 yard rush (Todd Peterson kick),7,43
8,4.0,14:51,49ers,Kevan Barlow 46 yard rush (Todd Peterson kick),7,50
9,4.0,2:01,Cardinals,Anquan Boldin 16 yard pass from Josh McCown (Neil Rackers kick),14,50
