,Quarter,Time,Tm,Detail,DET,CAR
0,1.0,7:23,Lions,Calvin Johnson 29 yard pass from Daunte Culpepper (Jason Hanson kick),7,0
1,2.0,12:59,Lions,Jason Hanson 40 yard field goal,10,0
2,2.0,8:19,Panthers,Jeff King 15 yard pass from Jake Delhomme (John Kasay kick),10,7
3,2.0,4:43,Lions,Jason Hanson 56 yard field goal,13,7
4,2.0,2:39,Panthers,DeAngelo Williams 56 yard rush (John Kasay kick),13,14
5,2.0,1:03,Panthers,Jonathan Stewart 22 yard rush (John Kasay kick),13,21
6,2.0,0:04,Lions,Jason Hanson 27 yard field goal,16,21
7,3.0,8:24,Panthers,John Kasay 29 yard field goal,16,24
8,4.0,6:05,Lions,Daunte Culpepper 1 yard rush (run failed),22,24
9,4.0,4:44,Panthers,DeAngelo Williams 4 yard rush (John Kasay kick),22,31
