,Quarter,Time,Tm,Detail,GNB,NWE
0,1.0,8:45,Packers,Mason Crosby 31 yard field goal,3,0
1,1.0,6:19,Patriots,BenJarvus Green-Ellis 33 yard rush (Shayne Graham kick),3,7
2,2.0,14:51,Packers,James Jones 66 yard pass from Matt Flynn (Mason Crosby kick),10,7
3,2.0,2:17,Packers,Greg Jennings 1 yard pass from Matt Flynn (Mason Crosby kick),17,7
4,2.0,1:08,Patriots,Aaron Hernandez 2 yard pass from Tom Brady (Shayne Graham kick),17,14
5,3.0,12:04,Patriots,Kyle Arrington 36 yard interception return (Shayne Graham kick),17,21
6,3.0,5:08,Packers,John Kuhn 6 yard pass from Matt Flynn (Mason Crosby kick),24,21
7,4.0,13:49,Packers,Mason Crosby 19 yard field goal,27,21
8,4.0,11:05,Patriots,Shayne Graham 38 yard field goal,27,24
9,4.0,7:14,Patriots,Aaron Hernandez 10 yard pass from Tom Brady (Shayne Graham kick),27,31
