,Quarter,Time,Tm,Detail,SEA,NOR
0,1.0,7:07,Seahawks,Olindo Mare 20 yard field goal,3,0
1,1.0,1:30,Saints,Chris Ivory 1 yard rush (Garrett Hartley kick),3,7
2,2.0,14:55,Seahawks,Olindo Mare 43 yard field goal,6,7
3,2.0,10:17,Saints,Marques Colston 23 yard pass from Drew Brees (Garrett Hartley kick),6,14
4,2.0,5:48,Saints,Robert Meachem 3 yard pass from Drew Brees (Garrett Hartley kick),6,21
5,2.0,1:54,Seahawks,Ben Obomanu 2 yard pass from Matt Hasselbeck (Olindo Mare kick),13,21
6,2.0,1:00,Saints,Marques Colston 22 yard pass from Drew Brees (Garrett Hartley kick failed),13,27
7,2.0,0:00,Seahawks,Olindo Mare 43 yard field goal,16,27
8,3.0,12:18,Saints,Robert Meachem 32 yard pass from Drew Brees (Garrett Hartley kick),16,34
9,4.0,5:26,Seahawks,Olindo Mare 20 yard field goal,19,34
