,Quarter,Time,Tm,Detail,BAL,CIN
0,1.0,10:15,Ravens,Travis Taylor 19 yard pass from Kyle Boller (Matt Stover kick),7,0
1,1.0,6:47,Bengals,Matt Schobel 45 yard pass from Jon Kitna (Shayne Graham kick),7,7
2,1.0,4:11,Bengals,Corey Dillon 2 yard rush (Shayne Graham kick),7,14
3,2.0,14:40,Bengals,Chad Johnson 82 yard pass from Jon Kitna (Shayne Graham kick),7,21
4,2.0,6:24,Bengals,Shayne Graham 44 yard field goal,7,24
5,3.0,8:51,Bengals,Shayne Graham 37 yard field goal,7,27
6,3.0,5:04,Ravens,Matt Stover 25 yard field goal,10,27
7,4.0,14:53,Bengals,Peter Warrick 21 yard pass from Jon Kitna (Shayne Graham kick),10,34
8,4.0,14:29,Ravens,Travis Taylor 73 yard pass from Kyle Boller (Todd Heap pass from Kyle Boller),18,34
9,4.0,1:16,Ravens,Chester Taylor 2 yard rush (Todd Heap pass from Kyle Boller),26,34
