,Quarter,Time,Tm,Detail,SFO,NYG
0,1.0,11:19,49ers,Phil Dawson 43 yard field goal,3,0
1,1.0,6:22,Giants,Josh Brown 22 yard field goal,3,3
2,2.0,12:15,Giants,Shane Vereen 2 yard pass from Eli Manning (Josh Brown kick),3,10
3,2.0,3:57,Giants,Josh Brown 41 yard field goal,3,13
4,2.0,1:01,49ers,Phil Dawson 22 yard field goal,6,13
5,3.0,8:00,49ers,Anquan Boldin 3 yard pass from Colin Kaepernick (Phil Dawson kick),13,13
6,3.0,1:14,Giants,Odell Beckham Jr. 17 yard pass from Eli Manning (Josh Brown kick),13,20
7,4.0,11:49,49ers,Garrett Celek 5 yard pass from Colin Kaepernick (Phil Dawson kick),20,20
8,4.0,4:29,Giants,Josh Brown 24 yard field goal,20,23
9,4.0,1:45,49ers,Carlos Hyde 2 yard rush (Phil Dawson kick),27,23
10,4.0,0:21,Giants,Larry Donnell 12 yard pass from Eli Manning (Josh Brown kick),27,30
