,Quarter,Time,Tm,Detail,CHI,STL
0,1.0,12:01,Rams,Todd Gurley 6 yard rush (Greg Zuerlein kick),0,7
1,1.0,11:10,Bears,Zach Miller 87 yard pass from Jay Cutler (Robbie Gould kick),7,7
2,1.0,5:09,Rams,Greg Zuerlein 26 yard field goal,7,10
3,1.0,0:03,Bears,Robbie Gould 35 yard field goal,10,10
4,2.0,6:56,Bears,Zach Miller 2 yard pass from Jay Cutler (Robbie Gould kick),17,10
5,2.0,5:00,Bears,Jeremy Langford 83 yard pass from Jay Cutler (Robbie Gould kick),24,10
6,3.0,2:41,Rams,Greg Zuerlein 38 yard field goal,24,13
7,4.0,11:24,Bears,Robbie Gould 37 yard field goal,27,13
8,4.0,8:05,Bears,Robbie Gould 36 yard field goal,30,13
9,4.0,4:55,Bears,Jeremy Langford 6 yard rush (Robbie Gould kick),37,13
