,Quarter,Time,Tm,Detail,SDG,KAN
0,1.0,7:01,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),7,0
1,1.0,4:26,Chiefs,Derrick Blaylock 5 yard rush (Lawrence Tynes kick),7,7
2,2.0,9:05,Chiefs,Larry Johnson 6 yard rush (Lawrence Tynes kick),7,14
3,2.0,3:11,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),14,14
4,2.0,0:45,Chiefs,Lawrence Tynes 28 yard field goal,14,17
5,3.0,7:24,Chargers,Nate Kaeding 25 yard field goal,17,17
6,4.0,14:17,Chiefs,Derrick Blaylock 22 yard rush (Lawrence Tynes kick failed),17,23
7,4.0,10:13,Chargers,Antonio Gates 18 yard pass from Drew Brees (Nate Kaeding kick),24,23
8,4.0,10:00,Chiefs,Dante Hall 96 yard kickoff return (Eddie Kennison pass from Trent Green),24,31
9,4.0,6:22,Chargers,Antonio Gates 11 yard pass from Drew Brees (Nate Kaeding kick),31,31
10,4.0,2:24,Chargers,Nate Kaeding 43 yard field goal,34,31
