,Quarter,Time,Tm,Detail,NWE,DAL
0,1.0,7:48,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
1,1.0,2:14,Patriots,Wes Welker 35 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2,2.0,12:31,Cowboys,Nick Folk 38 yard field goal,14,3
3,2.0,10:25,Cowboys,Jason Hatcher 29 yard defensive fumble return (Nick Folk kick),14,10
4,2.0,3:34,Patriots,Wes Welker 12 yard pass from Tom Brady (Stephen Gostkowski kick),21,10
5,2.0,0:46,Cowboys,Terrell Owens 12 yard pass from Tony Romo (Nick Folk kick),21,17
6,3.0,10:20,Cowboys,Patrick Crayton 8 yard pass from Tony Romo (Nick Folk kick),21,24
7,3.0,4:56,Patriots,Kyle Brady 1 yard pass from Tom Brady (Stephen Gostkowski kick),28,24
8,3.0,2:14,Patriots,Stephen Gostkowski 45 yard field goal,31,24
9,4.0,12:21,Patriots,Donte' Stallworth 69 yard pass from Tom Brady (Stephen Gostkowski kick),38,24
10,4.0,10:03,Cowboys,Nick Folk 23 yard field goal,38,27
11,4.0,3:59,Patriots,Stephen Gostkowski 22 yard field goal,41,27
12,4.0,0:19,Patriots,Kyle Eckel 1 yard rush (Stephen Gostkowski kick),48,27
