,Quarter,Time,Tm,Detail,GNB,PIT
0,1.0,14:18,Steelers,Mike Wallace 60 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
1,1.0,9:56,Packers,Greg Jennings 83 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,1.0,3:47,Steelers,Rashard Mendenhall 2 yard rush (Jeff Reed kick),7,14
3,2.0,3:04,Packers,Aaron Rodgers 14 yard rush (Mason Crosby kick),14,14
4,2.0,0:26,Steelers,Mewelde Moore 10 yard pass from Ben Roethlisberger (Jeff Reed kick),14,21
5,3.0,4:36,Steelers,Jeff Reed 37 yard field goal,14,24
6,4.0,13:30,Packers,Jermichael Finley 11 yard pass from Aaron Rodgers (Mason Crosby kick),21,24
7,4.0,9:45,Steelers,Jeff Reed 34 yard field goal,21,27
8,4.0,7:49,Packers,Ryan Grant 24 yard rush (Mason Crosby kick),28,27
9,4.0,3:58,Steelers,Jeff Reed 43 yard field goal,28,30
10,4.0,2:06,Packers,James Jones 24 yard pass from Aaron Rodgers (Brandon Jackson pass from Aaron Rodgers ),36,30
11,4.0,0:00,Steelers,Mike Wallace 19 yard pass from Ben Roethlisberger (Jeff Reed kick),36,37
