,Quarter,Time,Tm,Detail,BAL,PIT
0,1.0,1:29,Steelers,Shaun Suisham 45 yard field goal,0,3
1,2.0,12:28,Ravens,Bernard Pierce 5 yard rush (Justin Tucker kick),7,3
2,2.0,5:40,Steelers,Shaun Suisham 22 yard field goal,7,6
3,2.0,2:41,Ravens,Justin Tucker 28 yard field goal,10,6
4,2.0,0:37,Steelers,Shaun Suisham 47 yard field goal,10,9
5,3.0,10:06,Ravens,Justin Tucker 45 yard field goal,13,9
6,3.0,4:13,Ravens,Torrey Smith 11 yard pass from Joe Flacco (Justin Tucker kick),20,9
7,4.0,11:01,Steelers,Martavis Bryant 6 yard pass from Ben Roethlisberger (pass failed),20,15
8,4.0,8:47,Ravens,Justin Tucker 52 yard field goal,23,15
9,4.0,7:56,Ravens,Crockett Gillmore 21 yard pass from Joe Flacco (Justin Tucker kick),30,15
10,4.0,1:56,Steelers,"Safety, Punt blocked by Shamarko Thomas out of bounds in end zone.",30,17
