,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,11:41,Chargers,Nate Kaeding 28 yard field goal,0,3
1,1.0,7:36,Broncos,Tatum Bell 26 yard rush (Matt Prater kick failed),6,3
2,1.0,2:52,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),6,10
3,2.0,11:30,Chargers,Brandon Manumaleuna 12 yard pass from Philip Rivers (Nate Kaeding kick),6,17
4,2.0,3:32,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),6,24
5,3.0,12:47,Broncos,Tatum Bell 37 yard rush (Matt Prater kick),13,24
6,3.0,9:59,Chargers,Darren Sproles 13 yard pass from Philip Rivers (Nate Kaeding kick),13,31
7,3.0,9:41,Chargers,LaDainian Tomlinson 14 yard rush (Nate Kaeding kick),13,38
8,4.0,13:01,Broncos,Tony Scheffler 25 yard pass from Jay Cutler (Jay Cutler run),21,38
9,4.0,9:47,Chargers,Darren Sproles 2 yard rush (Nate Kaeding kick),21,45
10,4.0,1:15,Chargers,Jacob Hester 4 yard rush (Nate Kaeding kick),21,52
