,Quarter,Time,Tm,Detail,CAR,NYG
0,1.0,5:33,Panthers,Ted Ginn Jr. 3 yard pass from Cam Newton (Graham Gano kick),7,0
1,1.0,1:24,Giants,Rueben Randle 27 yard pass from Eli Manning (Josh Brown kick),7,7
2,2.0,2:14,Panthers,Greg Olsen 37 yard pass from Cam Newton (Graham Gano kick),14,7
3,2.0,0:15,Panthers,Devin Funchess 14 yard pass from Cam Newton (Graham Gano kick),21,7
4,3.0,10:03,Panthers,Corey Brown 20 yard pass from Cam Newton (Graham Gano kick),28,7
5,3.0,5:32,Panthers,Ted Ginn Jr. 14 yard pass from Cam Newton (Graham Gano kick),35,7
6,3.0,1:18,Giants,Will Tye 8 yard pass from Eli Manning (Josh Brown kick),35,14
7,4.0,13:24,Giants,Rashad Jennings 38 yard rush (Josh Brown kick),35,21
8,4.0,5:27,Giants,Shane Vereen 8 yard pass from Eli Manning (Josh Brown kick),35,28
9,4.0,1:46,Giants,Odell Beckham Jr. 14 yard pass from Eli Manning (Josh Brown kick),35,35
10,4.0,0:00,Panthers,Graham Gano 43 yard field goal,38,35
