,Quarter,Time,Tm,Detail,NOR,CHI
0,1.0,0:41,Bears,Robbie Gould 19 yard field goal,0,3
1,2.0,13:40,Bears,Robbie Gould 43 yard field goal,0,6
2,2.0,8:52,Bears,Robbie Gould 24 yard field goal,0,9
3,2.0,1:56,Bears,Thomas Jones 2 yard rush (Robbie Gould kick),0,16
4,2.0,0:46,Saints,Marques Colston 13 yard pass from Drew Brees (John Carney kick),7,16
5,3.0,12:20,Saints,Reggie Bush 88 yard pass from Drew Brees (John Carney kick),14,16
6,3.0,5:27,Bears,"Safety,",14,18
7,4.0,14:23,Bears,Bernard Berrian 33 yard pass from Rex Grossman (Robbie Gould kick),14,25
8,4.0,11:37,Bears,Cedric Benson 12 yard rush (Robbie Gould kick),14,32
9,4.0,4:19,Bears,Thomas Jones 15 yard rush (Robbie Gould kick),14,39
