,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,8:08,Bears,Paul Edinger 34 yard field goal,3,0
1,2.0,13:41,Bears,Paul Edinger 23 yard field goal,6,0
2,2.0,8:57,Vikings,Randy Moss 3 yard pass from Daunte Culpepper (Morten Andersen kick),6,7
3,2.0,5:09,Vikings,Morten Andersen 42 yard field goal,6,10
4,3.0,10:58,Vikings,Daunte Culpepper 1 yard rush (Morten Andersen kick),6,17
5,4.0,14:46,Bears,Paul Edinger 32 yard field goal,9,17
6,4.0,11:20,Vikings,Morten Andersen 24 yard field goal,9,20
7,4.0,6:20,Bears,Thomas Jones 1 yard rush (pass failed),15,20
8,4.0,5:39,Vikings,Randy Moss 2 yard pass from Daunte Culpepper (Morten Andersen kick),15,27
9,4.0,2:00,Bears,Rex Grossman 6 yard rush (Paul Edinger kick),22,27
