,Quarter,Time,Tm,Detail,CLE,SDG
0,1.0,7:47,Chargers,Nate Kaeding 29 yard field goal,0,3
1,1.0,1:35,Browns,Phil Dawson 37 yard field goal,3,3
2,2.0,13:47,Browns,Phil Dawson 20 yard field goal,6,3
3,2.0,5:49,Chargers,Marques Harris defensive fumble recovery in end zone (Nate Kaeding kick),6,10
4,2.0,2:44,Browns,Phil Dawson 42 yard field goal,9,10
5,2.0,0:01,Browns,Phil Dawson 30 yard field goal,12,10
6,3.0,1:08,Chargers,LaDainian Tomlinson 41 yard rush (Nate Kaeding kick),12,17
7,4.0,14:19,Browns,Phil Dawson 36 yard field goal,15,17
8,4.0,9:15,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),15,24
9,4.0,5:29,Browns,Phil Dawson 35 yard field goal,18,24
10,4.0,3:53,Chargers,LaDainian Tomlinson 8 yard rush (Vincent Jackson pass from Philip Rivers),18,32
11,4.0,1:11,Browns,Braylon Edwards 4 yard pass from Charlie Frye (Phil Dawson kick),25,32
