,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,8:51,Seahawks,Josh Brown 23 yard field goal,0,3
1,1.0,0:46,Seahawks,Nate Burleson 7 yard pass from Matt Hasselbeck (Josh Brown kick),0,10
2,2.0,11:47,Seahawks,Bobby Engram 15 yard pass from Matt Hasselbeck (Josh Brown kick),0,17
3,2.0,7:44,Seahawks,Deion Branch 17 yard pass from Matt Hasselbeck (Josh Brown kick),0,24
4,2.0,1:04,Cardinals,Bryant Johnson 5 yard pass from Kurt Warner (Neil Rackers kick),7,24
5,2.0,0:02,Seahawks,Josh Brown 41 yard field goal,7,27
6,3.0,0:57,Cardinals,Jerheme Urban 2 yard pass from Kurt Warner (Neil Rackers kick),14,27
7,4.0,10:42,Seahawks,Marcus Pollard 3 yard pass from Matt Hasselbeck (Josh Brown kick),14,34
8,4.0,9:25,Seahawks,"Safety,",14,36
9,4.0,5:29,Seahawks,Marcus Trufant 84 yard interception return,14,42
10,4.0,2:27,Cardinals,Larry Fitzgerald 11 yard pass from Kurt Warner (Neil Rackers kick),21,42
