,Quarter,Time,Tm,Detail,NWE,STL
0,1.0,11:25,Patriots,Adam Vinatieri 43 yard field goal,3,0
1,1.0,5:42,Patriots,Adam Vinatieri 31 yard field goal,6,0
2,2.0,14:46,Rams,Leonard Little defensive fumble recovery in end zone (Jeff Wilkins kick),6,7
3,2.0,9:04,Patriots,Mike Vrabel 2 yard pass from Tom Brady (Adam Vinatieri kick),13,7
4,2.0,5:19,Rams,Isaac Bruce 11 yard pass from Marc Bulger (Jeff Wilkins kick),13,14
5,2.0,3:03,Patriots,Adam Vinatieri 45 yard field goal,16,14
6,2.0,0:00,Patriots,Adam Vinatieri 36 yard field goal,19,14
7,3.0,7:15,Patriots,Troy Brown 4 yard pass from Adam Vinatieri (Adam Vinatieri kick),26,14
8,3.0,3:36,Patriots,Corey Dillon 5 yard rush (Adam Vinatieri kick),33,14
9,4.0,14:13,Rams,Torry Holt 16 yard pass from Marc Bulger (Marshall Faulk run),33,22
10,4.0,5:23,Patriots,Bethel Johnson 4 yard pass from Tom Brady (Adam Vinatieri kick),40,22
