,Quarter,Time,Tm,Detail,DAL,NYG
0,2.0,8:11,Cowboys,Blake Jarwin 13 yard pass from Dak Prescott (Brett Maher kick),7,0
1,2.0,1:50,Cowboys,Blake Jarwin 19 yard pass from Dak Prescott (Brett Maher kick),14,0
2,2.0,0:15,Giants,Cody Latimer 21 yard pass from Eli Manning (Aldrick Rosas kick),14,7
3,3.0,9:00,Giants,Aldrick Rosas 48 yard field goal,14,10
4,3.0,5:00,Cowboys,Blake Jarwin 39 yard pass from Dak Prescott (Brett Maher kick),21,10
5,3.0,1:53,Giants,Evan Engram 6 yard pass from Eli Manning (Evan Engram pass from Eli Manning ),21,18
6,4.0,10:38,Giants,Wayne Gallman 2 yard rush (Aldrick Rosas kick),21,25
7,4.0,9:11,Cowboys,Rod Smith 1 yard rush (Brett Maher kick),28,25
8,4.0,3:21,Giants,Saquon Barkley 2 yard rush (Aldrick Rosas kick),28,32
9,4.0,2:35,Giants,Aldrick Rosas 38 yard field goal,28,35
10,4.0,1:12,Cowboys,Cole Beasley 32 yard pass from Dak Prescott (Michael Gallup pass from Dak Prescott ),36,35
