,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,14:05,Falcons,Warrick Dunn 69 yard rush (Jay Feely kick),0,7
1,1.0,12:51,Saints,Donte' Stallworth 69 yard pass from Aaron Brooks (John Carney kick),7,7
2,1.0,4:32,Saints,Joe Horn 32 yard pass from Aaron Brooks (John Carney kick),14,7
3,1.0,0:03,Falcons,Brian Finneran 18 yard pass from Kurt Kittner (Jay Feely kick),14,14
4,2.0,6:02,Saints,Deuce McAllister 4 yard rush (John Carney kick),21,14
5,2.0,2:27,Saints,Boo Williams 12 yard pass from Aaron Brooks (John Carney kick),28,14
6,2.0,0:30,Saints,Deuce McAllister 10 yard rush (John Carney kick),35,14
7,3.0,7:04,Falcons,Jay Feely 28 yard field goal,35,17
8,3.0,2:56,Saints,John Carney 42 yard field goal,38,17
9,4.0,6:37,Saints,Ki-Jana Carter 1 yard rush (John Carney kick),45,17
