,Quarter,Time,Tm,Detail,JAX,TEN
0,1.0,3:31,Titans,Ryan Succop 32 yard field goal,0,3
1,2.0,14:53,Titans,Kendall Wright 36 yard pass from Marcus Mariota (Ryan Succop kick),0,10
2,2.0,10:36,Titans,Derrick Henry 6 yard rush (Ryan Succop kick),0,17
3,2.0,7:09,Titans,DeMarco Murray 14 yard rush (Ryan Succop kick),0,24
4,2.0,0:00,Titans,Ryan Succop 22 yard field goal,0,27
5,3.0,11:05,Jaguars,Julius Thomas 10 yard pass from Blake Bortles (Blake Bortles run),8,27
6,3.0,6:53,Titans,Rishard Matthews 4 yard pass from Marcus Mariota (Ryan Succop kick failed),8,33
7,4.0,12:32,Titans,Ryan Succop 33 yard field goal,8,36
8,4.0,3:11,Jaguars,Allen Hurns 5 yard pass from Blake Bortles (Jason Myers kick),15,36
9,4.0,0:01,Jaguars,Bryan Walters 7 yard pass from Blake Bortles (Jason Myers kick),22,36
