,Quarter,Time,Tm,Detail,NYG,IND
0,1.0,9:24,Giants,Matt Bryant 20 yard field goal,3,0
1,2.0,12:42,Giants,Tiki Barber 4 yard rush (Matt Bryant kick),10,0
2,2.0,0:05,Colts,Mike Vanderjagt 20 yard field goal,10,3
3,3.0,14:41,Giants,Amani Toomer 82 yard pass from Kerry Collins (Matt Bryant kick),17,3
4,3.0,10:23,Giants,Charles Stackhouse 18 yard pass from Kerry Collins (Matt Bryant kick failed),23,3
5,3.0,5:18,Colts,Mike Vanderjagt 27 yard field goal,23,6
6,3.0,0:11,Giants,Tiki Barber 1 yard rush (Matt Bryant kick),30,6
7,4.0,13:34,Colts,Reggie Wayne 21 yard pass from Peyton Manning,30,12
8,4.0,6:45,Giants,Amani Toomer 21 yard pass from Kerry Collins (Matt Bryant kick),37,12
9,4.0,4:51,Colts,Marvin Harrison 25 yard pass from Peyton Manning (Marcus Pollard pass from Peyton Manning),37,20
10,4.0,4:44,Colts,Reggie Wayne 40 yard pass from Peyton Manning (Mike Vanderjagt kick),37,27
11,4.0,4:00,Giants,Amani Toomer 27 yard pass from Kerry Collins (Matt Bryant kick),44,27
