,Quarter,Time,Tm,Detail,CHI,STL
0,1.0,13:30,Rams,Tavon Austin 65 yard rush (Greg Zuerlein kick),0,7
1,1.0,12:36,Rams,Zac Stacy 1 yard rush (Greg Zuerlein kick),0,14
2,1.0,6:14,Bears,Martellus Bennett 7 yard pass from Josh McCown (Robbie Gould kick),7,14
3,1.0,1:27,Rams,Jared Cook 6 yard pass from Kellen Clemens (Greg Zuerlein kick),7,21
4,2.0,5:19,Bears,Brandon Marshall 3 yard pass from Josh McCown (Robbie Gould kick),14,21
5,2.0,1:11,Rams,Greg Zuerlein 29 yard field goal,14,24
6,3.0,3:59,Rams,Greg Zuerlein 40 yard field goal,14,27
7,4.0,7:15,Bears,Michael Bush 1 yard rush (Robbie Gould kick),21,27
8,4.0,3:05,Rams,Benny Cunningham 9 yard rush (Isaiah Pead pass from Kellen Clemens),21,35
9,4.0,2:05,Rams,Robert Quinn 31 yard defensive fumble return (Greg Zuerlein kick),21,42
