,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,11:50,Chargers,Tim Dwight 19 yard rush (Steve Christie kick),0,7
1,1.0,5:17,Chiefs,Morten Andersen 28 yard field goal,3,7
2,1.0,3:51,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),10,7
3,2.0,2:00,Chiefs,Marc Boerigter 44 yard pass from Trent Green (Morten Andersen kick),17,7
4,3.0,5:58,Chargers,LaDainian Tomlinson 1 yard rush (Steve Christie kick),17,14
5,3.0,2:24,Chiefs,Marc Boerigter 19 yard pass from Trent Green (Morten Andersen kick),24,14
6,4.0,13:16,Chargers,Curtis Conway 11 yard rush (Steve Christie kick),24,21
7,4.0,8:06,Chiefs,Tony Gonzalez 3 yard pass from Trent Green (Morten Andersen kick),31,21
8,4.0,4:07,Chargers,Tim Dwight 11 yard pass from Drew Brees (Steve Christie kick),31,28
9,4.0,2:30,Chiefs,Morten Andersen 43 yard field goal,34,28
10,4.0,0:14,Chargers,Reche Caldwell 2 yard pass from Drew Brees (Steve Christie kick),34,35
