,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,9:39,Saints,Jimmy Graham 1 yard pass from Drew Brees (Garrett Hartley kick),7,0
1,1.0,5:33,Panthers,Charles Godfrey 9 yard interception return (Justin Medlock kick),7,7
2,1.0,1:26,Saints,Garrett Hartley 22 yard field goal,10,7
3,2.0,7:08,Saints,Garrett Hartley 53 yard field goal,13,7
4,2.0,3:33,Panthers,Jonathan Stewart 17 yard pass from Cam Newton (Justin Medlock kick),13,14
5,2.0,0:11,Panthers,Mike Tolbert 2 yard rush (Justin Medlock kick),13,21
6,3.0,8:17,Panthers,DeAngelo Williams 3 yard rush (Justin Medlock kick),13,28
7,4.0,12:53,Saints,Mark Ingram 1 yard rush (Garrett Hartley kick),20,28
8,4.0,9:55,Panthers,Cam Newton 5 yard rush (Justin Medlock kick),20,35
9,4.0,1:55,Saints,Drew Brees 1 yard rush (Garrett Hartley kick),27,35
