,Quarter,Time,Tm,Detail,DAL,MIA
0,1.0,7:03,Dolphins,Jay Feely 37 yard field goal,0,3
1,1.0,0:03,Cowboys,Nick Folk 26 yard field goal,3,3
2,2.0,1:54,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),10,3
3,2.0,0:05,Dolphins,Jay Feely 45 yard field goal,10,6
4,3.0,9:41,Dolphins,Marty Booker 18 yard pass from Trent Green (Jay Feely kick),10,13
5,3.0,4:41,Cowboys,Tony Curtis 2 yard pass from Tony Romo (Nick Folk kick),17,13
6,3.0,2:10,Cowboys,Nick Folk 28 yard field goal,20,13
7,4.0,11:00,Cowboys,Nick Folk 47 yard field goal,23,13
8,4.0,4:01,Cowboys,Terrell Owens 34 yard pass from Tony Romo (Nick Folk kick),30,13
9,4.0,3:26,Dolphins,Derek Hagan 21 yard pass from Trent Green (Jay Feely kick),30,20
10,4.0,3:17,Cowboys,Marion Barber III 40 yard rush (Nick Folk kick),37,20
