,Quarter,Time,Tm,Detail,NOR,WAS
0,1.0,8:14,Redskins,Jordan Reed 16 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
1,1.0,5:52,Saints,Brandin Cooks 4 yard pass from Drew Brees (Kai Forbath kick),7,7
2,1.0,0:58,Redskins,Jamison Crowder 11 yard pass from Kirk Cousins (Dustin Hopkins kick),7,14
3,2.0,10:44,Saints,Brandin Cooks 60 yard pass from Drew Brees (Kai Forbath kick),14,14
4,2.0,9:52,Redskins,Matt Jones 78 yard pass from Kirk Cousins (Dustin Hopkins kick),14,21
5,2.0,3:18,Redskins,Dustin Hopkins 35 yard field goal,14,24
6,2.0,0:00,Redskins,Dustin Hopkins 23 yard field goal,14,27
7,3.0,4:38,Redskins,Dustin Hopkins 40 yard field goal,14,30
8,3.0,0:11,Redskins,Jordan Reed 8 yard pass from Kirk Cousins (Dustin Hopkins kick),14,37
9,4.0,14:18,Redskins,Dashon Goldson 35 yard interception return (Dustin Hopkins kick),14,44
10,4.0,9:33,Redskins,Dustin Hopkins 22 yard field goal,14,47
