,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,11:15,Titans,Ryan Succop 48 yard field goal,0,3
1,1.0,6:45,Colts,Adam Vinatieri 36 yard field goal,3,3
2,1.0,0:47,Titans,Ryan Succop 32 yard field goal,3,6
3,2.0,10:54,Colts,Jack Doyle 8 yard pass from Jacoby Brissett (Adam Vinatieri kick),10,6
4,2.0,4:10,Titans,Ryan Succop 40 yard field goal,10,9
5,2.0,0:14,Colts,Adam Vinatieri 25 yard field goal,13,9
6,3.0,13:50,Colts,John Simon 26 yard interception return (Adam Vinatieri kick failed),19,9
7,3.0,9:43,Titans,Ryan Succop 48 yard field goal,19,12
8,3.0,4:35,Titans,Ryan Succop 23 yard field goal,19,15
9,4.0,10:01,Titans,DeMarco Murray 3 yard rush (Ryan Succop kick),19,22
10,4.0,7:27,Colts,Adam Vinatieri 52 yard field goal,22,22
11,4.0,5:29,Titans,Taywan Taylor 53 yard pass from Marcus Mariota (Ryan Succop kick),22,29
12,4.0,0:47,Titans,Derrick Henry 72 yard rush (Ryan Succop kick),22,36
