,Quarter,Time,Tm,Detail,IND,OAK
0,1.0,14:48,Raiders,Jacoby Ford 99 yard kickoff return (Sebastian Janikowski kick),0,7
1,1.0,6:00,Colts,Joseph Addai 6 yard rush (Adam Vinatieri kick),7,7
2,2.0,14:51,Colts,Adam Vinatieri 30 yard field goal,10,7
3,2.0,9:31,Raiders,Sebastian Janikowski 59 yard field goal,10,10
4,2.0,1:55,Raiders,Sebastian Janikowski 38 yard field goal,10,13
5,2.0,0:36,Colts,Jacob Tamme 18 yard pass from Peyton Manning (Adam Vinatieri kick),17,13
6,3.0,7:53,Raiders,Sebastian Janikowski 51 yard field goal,17,16
7,3.0,2:55,Colts,Blair White 4 yard pass from Peyton Manning (Adam Vinatieri kick),24,16
8,4.0,12:59,Raiders,Sebastian Janikowski 45 yard field goal,24,19
9,4.0,7:38,Colts,Pierre Garcon 7 yard pass from Peyton Manning (Adam Vinatieri kick),31,19
10,4.0,1:51,Raiders,Zach Miller 6 yard pass from Jason Campbell (Sebastian Janikowski kick),31,26
