,Quarter,Time,Tm,Detail,MIN,STL
0,1.0,7:07,Vikings,Christian Ponder 5 yard rush (Blair Walsh kick),7,0
1,2.0,12:39,Rams,Brian Quick 4 yard pass from Sam Bradford (Greg Zuerlein kick),7,7
2,2.0,12:21,Vikings,Adrian Peterson 82 yard rush (Blair Walsh kick),14,7
3,2.0,9:11,Vikings,Blair Walsh 50 yard field goal,17,7
4,2.0,8:25,Vikings,Everson Griffen 29 yard interception return (Blair Walsh kick),24,7
5,2.0,3:11,Vikings,Blair Walsh 38 yard field goal,27,7
6,2.0,0:00,Vikings,Blair Walsh 42 yard field goal,30,7
7,3.0,5:56,Vikings,Blair Walsh 53 yard field goal,33,7
8,4.0,13:39,Rams,Danny Amendola 6 yard pass from Sam Bradford (Greg Zuerlein kick),33,14
9,4.0,7:48,Rams,Lance Kendricks 6 yard pass from Sam Bradford (Danny Amendola pass from Sam Bradford ),33,22
10,4.0,5:31,Vikings,Blair Walsh 51 yard field goal,36,22
