,Quarter,Time,Tm,Detail,DET,PHI
0,1,11:03,Lions,Jason Hanson 46 yard field goal,3,0
1,1,3:58,Lions,Jason Hanson 34 yard field goal,6,0
2,2,1:16,Eagles,LeSean McCoy 2 yard pass from Michael Vick (Alex Henery kick),6,7
3,3,8:23,Eagles,Alex Henery 26 yard field goal,6,10
4,3,3:39,Eagles,Alex Henery 32 yard field goal,6,13
5,4,13:39,Eagles,Alex Henery 49 yard field goal,6,16
6,4,10:30,Lions,Matthew Stafford 1 yard rush (Jason Hanson kick),13,16
7,4,5:18,Eagles,Jeremy Maclin 70 yard pass from Michael Vick (Alex Henery kick),13,23
8,4,3:32,Lions,Nate Burleson 17 yard pass from Matthew Stafford (Jason Hanson kick),20,23
9,4,0:03,Lions,Jason Hanson 19 yard field goal,23,23
10,OT,11:00,Lions,Jason Hanson 45 yard field goal,26,23
