,Quarter,Time,Tm,Detail,ATL,GNB
0,1,4:08,Packers,Ryan Longwell 28 yard field goal,0,3
1,2,11:26,Falcons,Michael Vick 2 yard rush (Jay Feely kick),7,3
2,2,8:43,Falcons,Warrick Dunn 3 yard rush (Jay Feely kick),14,3
3,2,5:54,Packers,David Martin 3 yard pass from Brett Favre (Ryan Longwell kick),14,10
4,2,1:15,Falcons,Alge Crumpler 2 yard pass from Michael Vick (Jay Feely kick),21,10
5,2,0:00,Packers,Ryan Longwell 42 yard field goal,21,13
6,3,12:48,Packers,Rondell Mealey 2 yard rush (Ryan Longwell kick),21,20
7,3,5:24,Falcons,Jay Feely 21 yard field goal,24,20
8,3,0:30,Packers,Javon Walker 13 yard pass from Brett Favre (Ryan Longwell kick),24,27
9,4,8:07,Falcons,Warrick Dunn 2 yard rush (Jay Feely kick),31,27
10,4,1:10,Packers,William Henderson 1 yard rush (Ryan Longwell kick),31,34
11,4,0:05,Falcons,Jay Feely 52 yard field goal,34,34
12,OT,5:15,Packers,Ryan Longwell 34 yard field goal,34,37
