,Quarter,Time,Tm,Detail,NOR,GNB
0,1.0,10:08,Packers,Greg Jennings 7 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
1,1.0,6:24,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,14
2,1.0,3:31,Saints,Robert Meachem 31 yard pass from Drew Brees (John Kasay kick),7,14
3,1.0,0:11,Packers,Randall Cobb 32 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
4,2.0,9:44,Saints,John Kasay 30 yard field goal,10,21
5,2.0,8:37,Saints,Darren Sproles 72 yard punt return (John Kasay kick),17,21
6,2.0,1:59,Packers,James Starks 17 yard rush (Mason Crosby kick),17,28
7,3.0,8:40,Saints,John Kasay 38 yard field goal,20,28
8,3.0,8:26,Packers,Randall Cobb 108 yard kickoff return (Mason Crosby kick),20,35
9,3.0,6:54,Saints,Devery Henderson 29 yard pass from Drew Brees (John Kasay kick),27,35
10,4.0,11:50,Packers,John Kuhn 1 yard rush (Mason Crosby kick),27,42
11,4.0,2:15,Saints,Jimmy Graham 5 yard pass from Drew Brees (John Kasay kick),34,42
