,Quarter,Time,Tm,Detail,NWE,DEN
0,1.0,9:49,Broncos,Tim Tebow 9 yard rush (run failed),0,6
1,1.0,7:24,Patriots,Chad Johnson 33 yard pass from Tom Brady (Stephen Gostkowski kick),7,6
2,1.0,5:01,Broncos,Lance Ball 32 yard rush (Matt Prater kick),7,13
3,2.0,13:47,Broncos,Matt Prater 26 yard field goal,7,16
4,2.0,8:43,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Stephen Gostkowski kick),14,16
5,2.0,5:49,Patriots,Stephen Gostkowski 21 yard field goal,17,16
6,2.0,1:12,Patriots,Tom Brady 1 yard rush (Stephen Gostkowski kick),24,16
7,2.0,0:00,Patriots,Stephen Gostkowski 34 yard field goal,27,16
8,3.0,0:39,Patriots,Danny Woodhead 10 yard rush (Stephen Gostkowski kick),34,16
9,4.0,8:41,Broncos,Tim Tebow 2 yard rush (Matt Prater kick),34,23
10,4.0,4:10,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),41,23
